Sample	Soil	Origin_sample	Type_sample
MetaG_VP1-2	Agricultural	Soil	VP1-2
MetaG_VP3-4	Agricultural	Soil	VP3-4
MetaG_VP5-6	Agricultural	Soil	VP5-6
MetaG_V10rh	Agricultural	Rhizosphere	Negro_Criollo_V10
MetaG_V2rh	Agricultural	Rhizosphere	Negro_Criollo_V2
MetaG_V4rh	Agricultural	Rhizosphere	Negro_Criollo_V4
MetaG_V26rh	Agricultural	Rhizosphere	Negro_San_Luis_V26
MetaG_V45rh	Agricultural	Rhizosphere	Negro_V45
