DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
1498	2.511406246	Hathewaya										2303332	2.007337842	Cellvibrio			
80865	2.499614148	Delftia															
1697053	2.495494947	Oblitimonas															
1763536	2.492262531	Thalassotalea															
497	2.479649713	Psychrobacter															
2584943	2.462081781	Longibaculum															
207949	2.442802321	Bermanella															
34062	2.439920187	Moraxella															
1521	2.4329521	Ruminiclostridium															
2728021	2.410271631	Duganella															
1717717	2.399036566	Labilibaculum															
1416627	2.395554314	Oceanisphaera															
1041504	2.388853282	Candidatus Arthromitus															
1486245	2.384325854	Gramella															
2767188	2.370552336	Amniculibacterium															
34085	2.365943252	Riemerella															
1564138	2.352323149	Aliarcobacter															
81682	2.351017898	Methylovorus															
2779527	2.349744674	Viridibacillus															
2291597	2.346855768	Gallaecimonas															
1238	2.340381571	Piscirickettsia															
2010972	2.338045445	Caulobacter															
1383885	2.336294261	Flagellimonas															
1630141	2.334789427	Candidatus Nitrosoglobus															
1867715	2.333832248	Bosea															
1239307	2.315592108	Sodalis															
2500547	2.296491875	Apibacter															
353	2.293706318	Azotobacter															
57029	2.293232521	Psychroflexus															
1267021	2.273240792	Frischella															
417367	2.271839807	Paenisporosarcina															
1740262	2.265985942	Catenovulum															
662	2.258991653	Vibrio															
331648	2.241108181	Nonlabens															
53246	2.210701956	Pseudoalteromonas															
91844	2.188132083	Candidatus Portiera															
2562285	2.184031391	Altibacter															
1761453	2.181273412	Euzebyella															
28198	2.165927585	Arcobacter															
63186	2.164451152	Zobellia															
1196095	2.151509438	Gilliamella															
343403	2.142716247	Costertonia															
151895	2.136622653	Pseudopedobacter															
1653831	2.133473732	Blattabacterium															
139	2.118992037	Borreliella															
2487074	2.109717026	Kaistella															
1443036	2.104176107	Vespertiliibacter															
1678128	2.097895109	Limnohabitans															
2058175	2.097522399	Antarcticibacterium															
80867	2.095063388	Acidovorax															
1453352	2.079727243	Sediminicola															
2583452	2.064950056	Amedibacterium															
269673	2.063611643	Sporolactobacillus															
616991	2.051926466	Arenibacter															
9	2.043866363	Buchnera															
2489595	2.029881938	Glaciecola															
461876	2.028286748	Alkaliphilus															
2108365	2.019818637	Tepiditoga															
673	2.019666778	Grimontia															
2758442	-2.002563126	Actinotalea															
117157	-2.005743263	Actinopolymorpha															
624315	-2.007689724	Phytohabitans															
53358	-2.018091235	Intrasporangium															
168697	-2.021873824	Salinispora															
1861	-2.042538761	Geodermatophilus															
860235	-2.056951715	Kibdelosporangium															
467094	-2.05762143	Ilumatobacter															
131568	-2.05803494	Kineococcus															
2024580	-2.110450103	Plantactinospora															
63363	-2.123324944	Aquifex															
443156	-2.127456438	Phycicoccus															
1813880	-2.142039627	Tetrasphaera															
642780	-2.147439769	Marmoricola															
1275	-2.153533174	Kocuria															
2708082	-2.155347623	Mumia															
2045	-2.168187863	Pimelobacter															
2036206	-2.189555938	Suicoccus															
546871	-2.208283644	Friedmanniella															
2041	-2.22040323	Aeromicrobium															
1586287	-2.271402865	Lentzea															
196914	-2.359472088	Actinoplanes															
477641	-2.359894362	Modestobacter															
2789776	-2.394786604	Actinomarinicola															
191495	-2.415109801	Conexibacter															
138336	-2.436884773	Blastococcus															
1839	-2.465901564	Nocardioides															
496014	-2.478256739	Baekduia															
148814	-2.533109576	Apilactobacillus															
482564	-3.71166993	Oscillatoria															
