Sample	Soil	Origin_sample	Type_sample
MetaG_VP1-2	Agricultural	Soil	VP1-2
MetaG_VP3-4	Agricultural	Soil	VP3-4
MetaG_VP5-6	Agricultural	Soil	VP5-6
MetaG_V16rh	Agricultural	Rhizosphere	Peruano_V16
MetaG_V22rh	Agricultural	Rhizosphere	Bayo_V22
MetaG_V43rh	Agricultural	Rhizosphere	Flor_de_Mayo_V43
MetaG_V47rh	Agricultural	Rhizosphere	Bayo_V47
